Posicao;Fluxo_Concatenado_estatorA;Fluxo_Concatenado_estatorB;Fluxo_Concatenado_estatorC;Tensao_A;Tensao_B;Tensao_C;Indutancia_A;Indutancia_B;Indutancia_C;R_A;R_B;R_C;Potencia_A;Potencia_B;Potencia_C
280;0,1490851474357206;0,7537358178258564;-0,8824765490250663;-0,7378992840873387;2,000927668850546;-1,263028384047697;-0,036140383312475266;0,06738189618305253;0,1249814408108723;0,1788773961163075;0,17887739611630762;0,1788773961163076;3,0439584054688043;22,382434130293536;8,918067534217112
285;-0,03962748956451088;0,823368650411204;-0,7733501162985156;-1,051989036745419;2,023229667926252;-0,9712406310019581;0,00673815211026887;0,07279551232575288;0,14243108316732186;0,17887739611630768;0,17887739611630737;0,1788773961163075;6,186812629545327;22,884156288340506;5,273491138565854
290;-0,1955374298835382;0,9178872306572262;-0,7172017889822345;-1,334521444353032;1,984839249811353;-0,6503178063527078;0,02620956482104275;0,08272170039159515;0,19727460520052145;0,1788773961163076;0,17887739611630757;0,17887739611630754;9,956246703636694;22,02395010843149;2,3642632240935364
295;-0,3547593073955885;0,9264416869497839;-0,5614679574606838;-1,577021159040982;1,886908045069778;-0,3098868853132872;0,04023942278208744;0,08782594204745596;0,3240986662981008;0,17887739611630765;0,1788773961163076;0,17887739611630762;13,903353861691366;19,904258714913507;0,5368474931663861
300;-0,5002196483578789;0,9735854031704879;-0,4629793332676412;-1,772213725623384;1,732373768626101;0,03983995699728391;0,0504893890001885;0,10052820296055279;-2,0787305969287533;0,1788773961163075;0,1788773961163076;0,17887739611630762;17,558068025798967;16,77751878874873;0,008873240599462918
305;-0,6239734535680259;0,9062864010594673;-0,2813979155966492;-1,914243798962889;1,525872109947646;0,3883716888363671;0,05830748762535863;0,10624360357612109;-0,12960709511370452;0,17887739611630746;0,1788773961163076;0,17887739611630754;20,48514458185258;13,016097877465803;0,8432176002357468
310;-0,7553158078935777;0,8848931349574322;-0,1498129961220955;-1,998850789588875;1,273597661593086;0,7252531287112991;0,06759330194390228;0,12428366084182918;-0,03695007658680565;0,1788773961163075;0,1788773961163076;0,17887739611630749;22,335994182530612;9,06794843190084;2,940517427721969
315;-0,8257620050060068;0,7763040650284794;0,03918101370884953;-2,023496676426662;0,9831180992268279;1,040378578094221;0,07299747955509392;0,1412477807661235;0,0067365840252831734;0,17887739611630749;0,17887739611630746;0,17887739611630749;22,890196796287476;5,4032606579253395;6,051002581978419
320;-0,9200355170587805;0,7191113966954622;0,1957073241449182;-1,987442137732816;0,6631471674212177;1,324294970311599;0,08280671648319451;0,1939731940025621;0,026434908633456534;0,17887739611630754;0,17887739611630757;0,17887739611630762;22,08175172824917;2,4584669455544077;9,804241376883027
325;-0,9290072718710433;0,5633794545209674;0,355134152851989;-1,891768728851342;0,3232832868330988;1,568485441481613;0,08784287383072886;0,31172613603796934;0,040501155352852716;0,17887739611630746;0,17887739611630768;0,17887739611630765;20,006937719133983;0,5842665748424521;13,753255769332428
330;-0,9763508053963423;0,4643543187154066;0,5012649025069491;-1,739346439756994;-0,02627837758561501;1,765624817163732;0,10040960545488428;-3,1608683274511957;0,050783699715420856;0,17887739611630754;0,17887739611630754;0,17887739611630757;16,91284702919221;0,0038604828979238387;17,427752542626923
335;-0,9087085795003531;0,28247834542882;0,624978343565005;-1,534747603332162;-0,3750517486384027;1,909799352149443;0,10591150243639892;-0,1347253840916404;0,05853730058090581;0,17887739611630743;0,17887739611630746;0,1788773961163075;13,167958932062518;0,7863699786040205;20,39013114378581
340;-0,8876045917410783;0,1505390515135977;0,7572359253196134;-1,284109732179545;-0,712574396720511;1,996684128184547;0,12364394893420419;-0,03778978542100618;0,06783866744613887;0,1788773961163075;0,17887739611630754;0,1788773961163076;9,218256974213054;2,838604999211019;22,287598066062344
345;-0,7784954524774232;-0,03870548296560445;0,8274474694505842;-0,9949514081677966;-1,028721388081044;2,023672795533329;0,13996184967865585;0,006730234336068822;0,07314010895686354;0,17887739611630757;0,17887739611630757;0,17887739611630737;5,534116250056669;5,916162227715431;22,89418155840616
350;-0,721012491943672;-0,1957556628795552;0,9221068396203027;-0,6759467416468486;-1,314009012380861;1,989955753312199;0,19080325294858308;0,02664841939513823;0,08288831052538466;0,1788773961163075;0,1788773961163076;0,17887739611630749;2,5542858262868995;9,652531410371509;22,13764279957177
355;-0,565457975679349;-0,3556307982505433;0,9315044822036769;-0,3366651672647707;-1,559879271628764;1,896544438714657;0,3004399033154879;0,04078156068026825;0,08785720642548701;0,17887739611630749;0,17887739611630754;0,1788773961163075;0,6336375490155237;13,602743526493317;20,1080789753937
360;-0,4687614962432392;-0,5055584454242777;0,9871419118051096;0,009807651579430995;-1,779285253704996;1,769477602125565;-8,549532491899514;0,05082545258765848;0,09979068091557648;0,17887739611630749;0,17887739611630749;0,17887739611630749;0,0005377427869140704;17,698468799230437;17,503894021289337
